    1771  11011
  0.9996904818633119         1         1
  0.0003095181366881         2         1
  0.9809718468924074         2         2
  0.0106866393238476         3         2
  0.0077379534172032         4         2
  0.0003095181366881         1         2
  0.0002940422298537         5         2
  0.9687541441013335         3         3
  0.0309518136688127         2         3
  0.0002940422298537         6         3
  0.9945473221586775         4         4
  0.0051586356114688         2         4
  0.0002940422298537         7         4
  0.9614475815871395         5         5
  0.0302263805359499         6         5
  0.0077379534172032         7         5
  0.0003095181366881         2         5
  0.0002785663230193         8         5
  0.9304957679183268         6         6
  0.0302263805359499         9         6
  0.0077379534172032        10         6
  0.0003095181366881         3         6
  0.0309518136688127         5         6
  0.0002785663230193        11         6
  0.9562889459756707         7         7
  0.0302263805359499        10         7
  0.0077379534172032        12         7
  0.0003095181366881         4         7
  0.0051586356114688         5         7
  0.0002785663230193        13         7
  0.9361600312167210         8         8
  0.0555294068132028        11         8
  0.0077379534172032        13         8
  0.0003095181366881         5         8
  0.0002630904161849        14         8
  0.9687696200081680         9         9
  0.0309518136688127         6         9
  0.0002785663230193        15         9
  0.9636109843966992        10        10
  0.0309518136688127         7        10
  0.0051586356114688         6        10
  0.0002785663230193        16        10
  0.9052082175479083        11        11
  0.0555294068132028        15        11
  0.0077379534172032        16        11
  0.0003095181366881         6        11
  0.0309518136688127         8        11
  0.0002630904161849        17        11
  0.9945627980655120        12        12
  0.0051586356114688         7        12
  0.0002785663230193        18        12
  0.9310013956052522        13        13
  0.0555294068132028        16        13
  0.0077379534172032        18        13
  0.0003095181366881         7        13
  0.0051586356114688         8        13
  0.0002630904161849        19        13
  0.9062117993459772        14        14
  0.0854931145907810        17        14
  0.0077379534172032        19        14
  0.0003095181366881         8        14
  0.0002476145093505        20        14
  0.9052082175479083        15        15
  0.0555294068132028        21        15
  0.0077379534172032        22        15
  0.0003095181366881         9        15
  0.0309518136688127        11        15
  0.0002630904161849        23        15
  0.9000495819364395        16        16
  0.0555294068132028        22        16
  0.0077379534172032        24        16
  0.0003095181366881        10        16
  0.0309518136688127        13        16
  0.0051586356114688        11        16
  0.0002630904161849        25        16
  0.8752599856771645        17        17
  0.0854931145907810        23        17
  0.0077379534172032        25        17
  0.0003095181366881        11        17
  0.0309518136688127        14        17
  0.0002476145093505        26        17
  0.9310013956052522        18        18
  0.0555294068132028        24        18
  0.0077379534172032        27        18
  0.0003095181366881        12        18
  0.0051586356114688        13        18
  0.0002630904161849        28        18
  0.9010531637345084        19        19
  0.0854931145907810        25        19
  0.0077379534172032        28        19
  0.0003095181366881        13        19
  0.0051586356114688        14        19
  0.0002476145093505        29        19
  0.8722401299478642        20        20
  0.1194802598957284        26        20
  0.0077379534172032        29        20
  0.0003095181366881        14        20
  0.0002321386025161        30        20
  0.9687850959150024        21        21
  0.0309518136688127        15        21
  0.0002630904161849        31        21
  0.9636264603035336        22        22
  0.0309518136688127        16        22
  0.0051586356114688        15        22
  0.0002630904161849        32        22
  0.8752599856771645        23        23
  0.0854931145907810        31        23
  0.0077379534172032        32        23
  0.0003095181366881        15        23
  0.0309518136688127        17        23
  0.0002476145093505        33        23
  0.9636264603035336        24        24
  0.0309518136688127        18        24
  0.0051586356114688        16        24
  0.0002630904161849        34        24
  0.8701013500656957        25        25
  0.0854931145907810        32        25
  0.0077379534172032        34        25
  0.0003095181366881        16        25
  0.0309518136688127        19        25
  0.0051586356114688        17        25
  0.0002476145093505        35        25
  0.8412883162790514        26        26
  0.1194802598957284        33        26
