    286  1606
  0.9995949766521789         1         1
  0.0004050233478211         2         1
  0.9506060270308139         2         2
  0.0279682378694504         3         2
  0.0202511673910546         4         2
  0.0008100466956422         1         2
  0.0003645210130390         5         2
  0.9186308094227427         3         3
  0.0810046695642184         2         3
  0.0003645210130390         6         3
  0.9861347007262580         4         4
  0.0135007782607031         2         4
  0.0003645210130390         7         4
  0.8995086446137394         5         5
  0.0791061226213070         6         5
  0.0202511673910546         7         5
  0.0008100466956422         2         5
  0.0003240186782569         8         5
  0.8185039750495209         6         6
  0.0791061226213070         9         6
  0.0202511673910546        10         6
  0.0008100466956422         3         6
  0.0810046695642184         5         6
  0.0003240186782569        11         6
  0.8860078663530362         7         7
  0.0791061226213070        10         7
  0.0202511673910546        12         7
  0.0008100466956422         4         7
  0.0135007782607031         5         7
  0.0003240186782569        13         7
  0.8333280426056485         8         8
  0.1453272269641799        11         8
  0.0202511673910546        13         8
  0.0008100466956422         5         8
  0.0002835163434748        14         8
  0.9186713117575247         9         9
  0.0810046695642184         6         9
  0.0003240186782569        15         9
  0.9051705334968216        10        10
  0.0810046695642184         7        10
  0.0135007782607031         6        10
  0.0003240186782569        16        10
  0.7523233730414300        11        11
  0.1453272269641799        15        11
  0.0202511673910546        16        11
  0.0008100466956422         6        11
  0.0810046695642184         8        11
  0.0002835163434748        17        11
  0.9861752030610400        12        12
  0.0135007782607031         7        12
  0.0003240186782569        18        12
  0.8198272643449455        13        13
  0.1453272269641799        16        13
  0.0202511673910546        18        13
  0.0008100466956422         7        13
  0.0135007782607031         8        13
  0.0002835163434748        19        13
  0.7549498689490075        14        14
  0.2237459029556030        17        14
  0.0202511673910546        19        14
  0.0008100466956422         8        14
  0.0002430140086927        20        14
  0.7523233730414300        15        15
  0.1453272269641799        21        15
  0.0202511673910546        22        15
  0.0008100466956422         9        15
  0.0810046695642184        11        15
  0.0002835163434748        23        15
  0.7388225947807270        16        16
  0.1453272269641799        22        16
  0.0202511673910546        24        16
  0.0008100466956422        10        16
  0.0810046695642184        13        16
  0.0135007782607031        11        16
  0.0002835163434748        25        16
  0.6739451993847891        17        17
  0.2237459029556030        23        17
  0.0202511673910546        25        17
  0.0008100466956422        11        17
  0.0810046695642184        14        17
